연번,제목,본문
226,"[감사직렬의 회계학, 세무직의 회계학] 7급 시험을 볼 때 감사직렬의 회계학과 세무직렬의 회계학 시험문제가 다르나요?","동일 직급이면서 동일한 날짜에 시행되는 시험과목 중 과목명이 같은 과목은 시험문제가 같습니다. 즉, 7급 공채시험에서 감사직렬의 회계학 문제와 세무직렬의 회계학 문제는 동일한 문제입니다.마찬가지로 행정직, 세무직, 통계직 등의 경제학 과목의 문제 역시 동일한 문제입니다."
227,[시험 과목] 국가공무원 채용시험의 채용분야별 시험과목을 알고 싶습니다.,"국가직 공무원의 직급별, 직렬(류)별 채용시험 과목은 「공무원임용시험령」[별표1]에서 규정하고 있으며,국가법령정보센터 홈페이지를 통해 확인하실 수 있습니다.특히, 인사혁신처가 주관하는 5· 7· 9급 공개경쟁채용시험 및 외교관후보자 선발시험의 시험과목은매년 1월 초 국가공무원채용시스템공지사항에 게시하는 「국가공무원 공개경쟁채용시험 등 계획 공고」를 통해 확인하실 수 있습니다."
228,[교육행정직렬] 방송통신대나 교육기관에서 행정직으로 근무하려면 어떤 시험에 응시해야 하나요? ,"국·공립 대학이나 교육관련 기관에서 공무원으로 근무하기를 원하신다면 교육행정직렬을 선발하는 시험에 응시해야 합니다.국가직 교육행정직렬은 인사혁신처가 실시하는 5급 및 7·9급 공개경쟁채용시험을 통해 선발하고 있으며,최종합격자는 교육부로 임용되어 교육부 본부 및 소속기관, 국립대학 등에서 근무를 하게 됩니다.지방직 교육행정직렬은 시․도교육청별로 9급 위주로 선발시험을 시행하며, 합격자는 시·도교육청 및 초·중·고교 등에서 근무를 합니다."
229,[사회복지직렬] 9급 사회복지직 시험을 보려고 합니다. 그런데 시험계획에 사회복지직렬이 없어서 당황스럽네요.,"인사혁신처에서 주관하는 5급 공개경쟁채용시험에서는 사회복지직렬에서 일정인원을 선발하고 있으나,국가공무원 9급 공개경쟁채용시험에서는 사회복지직렬을 선발하지 않습니다. 보건복지부 등 중앙부처에서는 사회복지 정책 및 제도업무를 주로 담당하기 때문에 5급에 대한 인력수요는 있지만,9급이 담당하는 일선 현장업무는 대부분 지방자치단체가 수행하므로 중앙부처에서는 인력수요가 거의 없습니다.일반적으로 9급 사회복지직은 광역지방자치단체(시·도)에서 선발하고 있으므로귀하가 거주하고 계신 광역지방자치단체(시·도)에 채용계획을 문의하시기 바랍니다."
230,[국제통상․재경․법무행정직류] 저는 9급 국제통상직에 응시하려고 하는데 왜 선발인원이 없는 것인지요?,"9급 공개경쟁채용시험에서는 행정직렬 중 국제통상·재경·법무행정직류 등은 선발하고 있지 않습니다.중앙부처의 9급 행정직렬은 대부분 일반행정직류이며, 기타 직류는 일부 부처에만 한정되어 있고 정원규모가 적기 때문에부처별로 필요인력을 자체적으로충원하고 있습니다.다만, 5급 공개경쟁채용시험에서는 국제통상·재경·법무행정직류를 매년 일정인원 선발하고 있음을 알려드립니다."
231,[선발예정직렬 및 인원] 공채시험 선발직렬 및 인원은 언제쯤 결정되어 공고되는지요?,"공개경쟁채용시험의 선발예정직렬 및 인원은 매년 하반기에 실시하는 부처별 수요조사(예상결원 및 공채 선발예정인원 등) 결과에 따라 결정됩니다.각 부처는 년도 말 기준의 직렬별 정·현원, 휴직, 별도정원 등의 인력운영 상황 등을 토대로 다음 년도에 공개경쟁채용시험을 통해 선발할예산인력 수요를 산정해 인사혁신처에 통보합니다.인사혁신처에서는 이 수요조사 결과를 토대로 다음 년도 국가공무원 충원계획을 매년 12월 말경에 확정하고이를 '다음 년도 국가공무원 공개경쟁채용시험 계획'에 반영하여 공고하고 있습니다.따라서, 정확한 선발예정직렬 및 인원은 매년 1월에 발표되는 시험계획 공고문을 통해 확인하실 수 있습니다."
232,[인사혁신처 주관 시험정보] 인사혁신처가 시행하는 채용시험에 대한 상세한 정보는 어디에서 확인할 수 있나요?,"국가공무원채용시스템에 접속하시면 인사혁신처에서 실시하는 모든 시험계획과 채용시험 제도, 연간 채용시험 통계 및 각종 공지사항 등을언제든지 확인하실 수 있습니다.더불어, 공무원 채용시험과 관련된 의문사항이나 개선·건의사항이 있는 경우에는 국민신문고(www.epeople.go.kr)에 질의하시거나7급 및 9급 공채시험의 경우 인사혁신처 공개채용과(044-201-8247, 8248, 8250, 8251),5급 공채 및 외교관후보자선발시험의 경우 5급공채팀(044-201-8259,8262)으로 연락주시면 친절히 안내해 드리겠습니다."
233,[시험정보 확인] 국가기관에서 시행하는 공무원 채용시험 정보를 일괄 확인할 수 있는 곳이 있습니까?,"인사혁신처 나라일터 홈페이지(www.gojobs.go.kr) 의 '채용정보' 메뉴에서국가기관뿐만 아니라 지방자치단체 등에서 실시하는 공개경쟁채용시험 및 경력경쟁채용시험에 대한 정보를 모두 확인하실 수 있습니다.다만, 게재된 공고문에 대한 문의사항은 공고문에 포함되어 있는 시험실시기관의 담당부서에 직접 질의하시거나,해당기관 홈페이지를 참고하시기 바랍니다."
234,[지방직 채용시험 주관기관] 지방 공무원 시험과 관련된 사항은 어디에 문의해야 하나요?,"수험생이 지방자치단체에서 주관하는 지방공무원 채용시험에 대해 인사혁신처(공개채용1·2과)로 문의하는 경우가 자주 있습니다.그러나 광역 지방자치단체(시·도)에서 실시하는 지방공무원 채용시험은 해당 시·도청(서울특별시의 경우 서울특별시인재개발원)으로,지방교육청에서 실시하는 시험은 해당 지방교육청으로 직접 문의하셔야 정확한 정보를 얻으실 수 있습니다.참고로, 지방공무원 채용시험에 대한 정보는 「자치단체통합인터넷원서접수센터(http://local.gosi.go.kr)」에서도 확인하실 수 있습니다."
235,[교정직렬 채용기관] 6급이하 교정직 경력경쟁채용시험 실시 여부 및 시험과목 등을 알고 싶습니다.,현재 각 부처 장관이 부처별 인력 수급상황 등을 고려하여 필요시 일정한 자격요건을 갖춘 지원자를 대상으로경력경쟁채용시험을 시행하고 있습니다.이에 6급 이하 교정직 공무원 경력경쟁채용시험은 소관부처인 법무부에서 자체적으로 시행하고 있습니다.시험과목을 포함한 구체적인 시험정보는 법무부(교정기획과)로 직접 문의하시거나법무부 홈페이지에 게시된 시험계획 공고문을 확인하시기 바랍니다.
236,[보건직렬 채용기관] 인사혁신처에서는 보건직을 뽑지 않나요? 보건직렬은 주로 어느 기관에서 선발하나요? ,"인사혁신처에서는 일반적으로 全 부처에 공통적으로 정원이 있고, 정원 규모가 큰 직렬을 대상으로 공개경쟁채용시험을 시행하고 있는데귀하께서 말씀하신 보건직렬은 주로 보건복지부에만 정원이 있고 인력규모가 크지 않기 때문에대부분 보건복지부에서 자체적으로 필요인력을 충원하고 있습니다.따라서 보건직 채용정보는 보건복지부 홈페이지를 참조하시거나 해당부처 인사담당자에게 직접 문의해야만 상세한 정보를 얻을 수 있습니다.참고로 인사혁신처에서 실시하는 5급 민간경력자 일괄채용시험(경력경쟁채용시험)을 통해보건분야 민간전문가를 보건5급 또는 보건연구관으로 선발하는 경우가 있습니다.다만, 매 년도마다 보건직 전문가 선발여부 및 선발예정인원 등이 부처 요구에 따라 달라지므로 이에 대한 정보는국가공무원채용시스템 또는 나라일터 홈페이지에 게재된 공고문을 통해 확인하시기 바랍니다."
237,[인사혁신처 주관 시험] 인사혁신처에서는 5·7·9급 공개경쟁채용시험 외에 어떤 다른 시험을 정기적으로 실시하나요?,"인사혁신처는 5․7․9급 국가공무원 공개경쟁채용시험, 외교관후보자 선발시험 외에 5․ 7급 민간경력자 채용시험,중증장애인 경력경쟁채용시험, 전국 지역인재 7․9급 수습직원 선발시험 등의 시험을 추가적으로 시행하고 있습니다.채용분야 및 선발예정인원, 시험과목, 응시자격, 담당부서 등의 시험정보는 국가공무원채용시스템에 공지되어 있습니다."
238,[5·7급 민간경력자 일괄채용시험] 5급 및 7급 민간경력자 일괄채용시험을 인사혁신처에서 시행하는 이유는 무엇인가요?,"인사혁신처는 다양한 민간 현장경력을 지닌 인재들을 공직에 유치하기 위해 민간경력자 일괄채용시험을 실시하고 있습니다.예전에는 5급 공무원 경력경쟁채용시험을 각 부처별로 사정에 따라 수시로 선발함으로써국민들이 관련 시험정보를 체계적으로 파악하기 어려웠고, 선발의 공정성을 확보하는 데에도 한계가 있었습니다.또한 각 부처에서 학위 등 소위 스펙 위주로 채용하는 경향이 높아 풍부한 민간경력을 갖춘 현장 전문가를 선발하는 데에도 미흡한 면이 많았습니다.이에 인사혁신처는 2011년부터 각 부처의 수요를 받아 5급 민간경력자 일괄채용시험을 시행하고 있으며,2015년부터는 7급 민간경력자 채용시험도 각 부처의 수요를 받아 위탁 시행하고 있습니다.다만, 민간경력자 경력경쟁채용시험은 원칙적으로 각 부처에서 필요시 자체적으로 시행하는 시험이기 때문에인사혁신처가 위탁 시행하는 시험을 제외한 경력경쟁채용시험의 정보는나라일터(www.gojobs.go.kr) 또는각 부처 홈페이지의 채용공고에서 확인하실 수 있습니다."
239,[다른 공채시험 기관] 인사혁신처를 제외하고 공개경쟁채용시험을 정기적으로 실시하는 기관이 있나요?,"인사혁신처에서 주관하는 공개경쟁채용시험 외에 기상청(기상직렬), 우정사업본부(우정직렬), 국회사무처, 법원행정처, 지방자치단체(시,도) 등에서 매년 정기적으로 공개경쟁채용시험을 실시하고 있으며, 경찰, 소방, 군무원 등 특정직의 경우에도 기관별로 공개경쟁채용시험을 실시하고 있습니다."
240,[고졸자를 위한 채용시험] 특성화 고등학교 졸업(예정)자들만 대상으로 하는 공무원 시험이 있나요?,"일반적으로 고등학교 졸업을 응시요건으로 정하거나, 고등학교 졸업(예정)자에게 별도로 가산점을 부여하는공무원 채용시험(공개경쟁 및 경력경쟁시험 포함)은 없습니다.다만, 국가공무원법 제26조의4 및 공무원임용령 제22조의3에 의해 실시되는「지역인재 9급 수습직원 선발시험」은초․중등교육법 제2조제3호의 고등(기술)학교 졸업(예정)자 중 학과성적이 우수하며 학교장의 추천을 받은 자에게만 응시자격을 부여하고 있습니다.이 시험에 합격한 수습직원은 즉시 공무원으로 임용되는 것이 아니라 일정기간 수습근무(공무원이 아닌 상태로 행정기관에서공무원이 하는 일을 배우는 것)를 마치고 난 후 수습근무 성적, 자질평가 결과 등에 따라 일반직 9급으로 임용됩니다.「전국 지역인재 9급 수습직원 선발시험」에 대한 보다 자세한 사항은 국가공무원채용시스템에서 확인하시기 바랍니다."
241,[경력경쟁채용 시험과목] 각 부처별로 실시하는 9급 경력경쟁채용시험도 9급 공개경쟁채용시험과 동일한 과목으로 시험을 준비하면 됩니까?,"「공무원임용시험령」별표 1의 '각종 임용시험 과목표'를 보시면,임용예정직렬 및 직급별 공개경쟁채용 시험과목과 경력경쟁채용 시험과목이 서로 다르게 규정되어 있는 것을 확인하실 수 있습니다.다만, 경력경쟁채용시험의 경우는 시험실시기관장이 필요시 시험과목을 일부 변경하여 시행할 수 있기 때문에반드시 해당 부처(기관)에서 발표하는 채용시험 계획 공고문 및 나라일터 홈페이지(www.gojobs.go.kr)를 확인하시기 바랍니다."
242,"[중증장애인 경력경쟁채용] 중증장애인이 일반 수험생, 경증장애인과 경쟁해서 합격할 가능성이 낮아요. 중증장애인만 응시할 수 있는 시험은 없는지요?","인사혁신처가 주관하는 7급 및 9급 공개경쟁채용시험에서는 장애인만 응시 가능한 장애인 구분모집을 실시하고 있고,중증장애인의 공무원 임용기회를 확대하기 위해 중증장애인만이 응시할 수 있는 경력경쟁채용시험도 별도로 실시하고 있습니다.중중장애인 경력채용시험은 임용예정직위에서 필요로 하는 관련분야 학위, 자격증 등의 응시요건을 갖추어야만 응시자격이 인정됩니다.중증장애인 경력경쟁채용시험에 대한 자세한 정보는 국가공무원채용시스템에서 확인하시기 바랍니다."
243,"[경력경쟁채용시험 정보] 경력경쟁채용시험 시행요건, 시험절차 및 합격자 결정방식 등의 기준은 어디에서 확인할 수 있나요?","경력경쟁채용시험의 응시자격 등은 국가공무원법 제28조 및 공무원임용령 제16조에 규정되어 있으며,구체적인 시험방법 및 합격자 결정기준 등은 공무원임용시험령 제29조 및 제30조에서 정하고 있습니다.각 부처(기관)별로 시행하는 경력경쟁채용시험에 대한 구체적인 정보(선발예정직렬 및 인원, 응시자격, 시험과목, 시험방법 등)는나라일터(www.gojobs.go.kr)에서 확인하실 수 있습니다."
244,"[응시에 필요한 자격증, 구분모집 응시자격] 9급 공개경쟁채용시험에서도 자격증 소지나 거주지 제한규정을 두는 경우가 있다던데요, 어떤 경우인가요?","채용시험 종류와 관계없이 사서 ․ 수의 ․ 해양수산 ․ 의무 ․ 약무 ․ 간호 ․ 항공 ․ 시설(지적) ․ 운전 ․ 간호조무 ․ 조리직렬은응시를 위한 필수 자격증을 별도로 규정(공무원임용시험령 제18조 및 별표5)하고 있습니다.다만, 위 직렬 중 인사혁신처가 주관하는 공개경쟁채용시험에 포함된 직렬은 없습니다.아울러 시험실시기관장은 결원보충을 원활히 하기 위하여 필요하다고 인정할 때에는근무예정지역별‧근무예정기관별‧거주지별로 분리하여 실시할 수 있습니다(공무원임용시험령 제2조).따라서 9급 공개경쟁채용시험에서는 지역별 구분모집을 별도로 시행하고 있으며 해당 모집에 응시하기 위해서는일정기준의 요건(해당 시험연도의 1월1일을 포함하여 전 또는 후로 연속하여 3개월 이상 해당 지역에 주민등록이 되어 있어야 함)을 갖추고 있어야 응시자격이 인정됩니다."
245,"[채용시험의 종류] 대학 졸업예정자입니다. 공무원 시험 공고문을 보면 공개경쟁채용시험 또는 경력경쟁채용시험이 있던데, 어떤 시험을 준비하는 것이 좋은가요?","「국가공무원법」 제28조에 따라 공무원은 공개경쟁채용시험을 통해 채용합니다.국가공무원법 제33조 등에서 정한 공무원 임용결격사유에 해당하지 않으며 공무원임용시험령 제16조의 응시연령에 부합하면학력 및 경력 등에 관계없이 누구나 공개경쟁채용시험에 응시할 수 있습니다.반면, 경력경쟁채용시험은 일반적인 공개경쟁채용시험 방법으로는 충원하기 곤란한 특수 분야의 전문인력을 충원하기 위해각 부처(기관) 또는 인사혁신처가 시행하는 시험으로, 관련분야의 경력‧학위‧자격증 등의 응시요건을 갖춘 지원자에게만 응시자격을 부여합니다.귀하의 개인 요건, 각 시험의 특성 등을 고려하셔서적합한 시험을 준비하시는 것이 좋겠습니다."
246,[추가합격자 없음] 제가 응시한 직렬에는 임용포기가 발생했는데 추가합격자 가 없습니다. 추가합격자를 결정하지 않을 수도 있나요?,"정부 부처에서 결원을 보충하는 방법은 신규채용, 파견자의 복귀, 휴직자의 복직, 전년도 시험 합격자 중임용유예자의 복귀 등 다양한 방법으로 이루어집니다.따라서 각 부처에서 신규채용 이외에 다른 방법으로 결원을 보충할 수가 있어 추가합격자 수요가 없는 경우에는최종합격자의 임용포기 등이 발생하더라도 추가합격자를 결정하지 않을 수도 있습니다."
247,[5급 공개경쟁채용시험] 영어과목을 대체하는 어학능력검정시험은 어떤 것이 있나요?,"영어과목을 대체하는 영어능력검정시험 법적근거 (공무원임용시험령 제7조) 5급 공개경쟁채용시험(외교관후보자 선발시험 포함)의 제1차시험 중 영어과목을 공무원임용시험령 별표3(영어능력검정시험의 종류 및 기준점수표)에서 정한 영어능력검정시험 성적으로 대체 ※ 제1차 필기시험에서 별도로 영어 과목을 응시할 수 없음 * 영어능력검정시험의 성적 기준은 매년 공고하는 '국가공무원 공개경쟁채용시험 등 계획 공고' 참고 * 응시원서 접수마감일 현재, 청각장애 2 ㆍ3급 응시자는 듣기부분을 제외한 점수가 위 표에서 정한 기준점수 이상이면 영어과목을 대체하는 영어능력검정시험 성적으로 인정됨 영어성적 인정범위 	 최종시험 시행예정일로부터 역산하여 5년이 되는 해의 1월 1일 이후 실시된 시험으로서, 제1차시험 시행예정일 전날까지 점수가 발표된 시험 중 기준점수 이상인 경우에 한해 인정 	- 2022년의 경우, 2017.1.1.이후 국내에서 실시된 시험으로서, 제1차시험 시행예정일(2022.2.26.) 전날까지 발표된 기준점수 이상의 성적만 인정 	 외국에서 취득한 성적의 경우 TOEIC은 일본에서, G-TELP는 미국에서 응시해 취득한 기준점수 이상의 성적만 인정, TOEFL은 국가 제한 없이 기준점수 이상이면 모두 인정 	 ※ 기타 국가에서 응시한 TOEIC 및 G-TELP 성적은 기출문제를 재사용하므로 시험관리의 공정성 차원에서 인정되지 않음 	 자체 유효기간이 2년인 시험(TOEIC, TOEFL, TEPS, G-TELP)의 경우 유효기간 경과시 시행기관으로부터 성적을 조회할 수 없어 진위여부 확인이 불가함에 따라 해당 능력검정시험의 유효기간이 만료될 예정인 경우 반드시 유효기간 만료전 별도 안내하는 기간에 사이버국가고시센터(www.gosi.kr)를 통해 사전등록 해야 함 	 ※ 사전등록 하지 않고 유효기간 경과되어 진위여부 확인이 불가능한 성적은 인정되지 않음 	 해당 검정시험기관의 정규(정기)시험 성적만을 인정하고, 정부기관 ㆍ민간회사 ㆍ학교 등에서 승진 ㆍ연수 ㆍ입사 ㆍ입학(졸업) 등의 특정 목적으로 실시하는 수시 ㆍ특별시험 등은 인정되지 않음 	 ※ 정규(정기)시험은 일반인 ㆍ학생 등 불특정 다수인을 대상으로 매 시험당 신규출제방식으로 시행되는 시험으로서 공인성적표를 발행하는 시험을 말함 영어성적 등록 및 확인방법 	 응시원서 접수시, 해당 영어능력검정시험명 ㆍ등록번호 ㆍ시험일자 ㆍ점수 등 입력 	 영어성적 등록내용을 토대로 해당 시험검정기관에 시험성적 진위여부 확인 	 ※ 필요시, 성적표 원본 제출 등을 요구할 수 있음 	 외국에서 응시한 시험의 성명은 여권상의 영문성명과 일치해야 함"
248,[저소득층 응시수수료 면제] 제가 기초생활수급자인데 응시수수료 결제를 해야 하나요?,「공무원임용시험령」제35조에 따라 원서접수 당시 국민기초생활보장법에 따른 수급자 또는 차상위계층이거나한부모가족지원법에 따른 지원대상자인사람은응시수수료 납부가 면제됩니다.응시원서 접수 시에는 원서작성 화면 중에 응시자 본인이 면제 대상인지 직접 확인할 수 있는 기능이 있습니다.
249,[응시수수료 환불] 원서접수를 취소했는데 환불이 안 됐습니다.,"응시원서 접수 취소 시에는 즉시 결제취소 또는 환불하고 있습니다.만약 시스템 오류로 인하여중복결제가 되었다면취소기간 종료 후 결제대행사와 정산절차를 거쳐승인취소(카드, 휴대폰 결제) 또는 환불(계좌이체) 해드립니다. 취소기간 종료 후 통상 1주 정도가 소요되므로 참고하시기 바랍니다."
250,"[응시번호 부여] 친구와 원서접수를 같이하면, 응시번호가 연속으로 부여되어 시험장에서 앞뒤로 앉아 시험 볼 수 있나요?","인사혁신처에서 주관하는 공개경쟁채용시험은 인터넷 원서접수 방식입니다.응시번호는 원서접수 취소기간이 종료되고 출원인원이 확정된 이후에부여하고 있습니다.이때, 부정행위 방지차원에서 응시번호는무작위 배정을 하고 있으므로 설령 귀하가 친구 분과 연달아 응시원서를 접수했다 하더라도 응시번호를 연속으로 부여받을 가능성은 없습니다."
251,[응시표 출력] 응시표 출력은 언제부터 가능한가요? 혹시 응시표를 분실할 경우 재출력할 수 있나요?,"응시표 출력은 국가공무원채용시스템에 로그인한 후""마이페이지 → 원서접수내역 → 응시표 출력""에서 시험장소 공고일로 부터 시험일이 속한 연도의 말까지 언제든지 출력이 가능 합니다.[유의 사항]1.필기시험에서 사용한 응시표를면접시험에도활용할 수 있습니다.2. 이면지 사용 또는 뒷면에 낙서, 메모 등이 있으면 시험 중 소지할 수 없으며, 발견 시에는 부정행위자로 처리합니다.3. 응시번호가 기재된 응시표는시험장 좌석 확인, 특정시험의 선택과목(순서) 확인 등에 필요합니다.  다만, 시험 당일 응시표를 소지하지못했더라도 시험 응시가 가능하니 참고하시기 바랍니다."
252,"원서접수 종료 후 응시직렬, 선택과목, 응시지역 등을 수정할 수 있나요?","응시원서 접수기간에만 응시원서 입력사항을 수정할 수 있습니다.접수기간 종료 이후에는 응시직렬, 근무예정지역(지역구분 모집단위), 시험 볼 지역(응시지역), 선택과목, 장애인 응시자 편의제공 신청, 지방인재 여부 표기 등은 수정이 불가합니다.* 증명사진을 첨부하는 응시원서(공채5, 7, 9급 등)는 원서접수 취소기간까지 증명사진을 교체할 수 있습니다."
253,[접수 취소] 원서접수를 취소하려고 하는데 언제까지 가능한가요?,"원서접수 취소는 시험계획 공고로 안내하는원서접수 기간과 취소기간(통상 원서접수 마감일 + 3일), 추가취소기간(통상 시험 전주 월요일 ~ 수요일)에 취소할 수 있습니다.취소기간 및 추가취소기간이 지나면 응시번호 부여 및 시험장 임차 등의 시험집행 준비가 시작되어 취소가 불가합니다.개인 사정으로 결시하는 경우, 별도의 불이익은 없으나 납부한 응시수수료는환불 받으실 수 없습니다."
254,"[모집단위 이중접수] 모집단위별 경쟁률을 고려, 응시직렬(모집단위)을 결정하고 싶은데 원서를 복수로 낼 수 없는지요?","응시원서의 이중접수를 허용하면 허수 경쟁률의 증가로 수험생들의 심리적 부담감이 증가되고,시험장 임차 및 시험관리관 추가 차출등에 따른 예산 과다소요 등 부작용이 초래될 수 있으므로허용하지 않고 있습니다. 참고로, 국가공무원채용시스템의 시험통계/자료실 > 시험통계 메뉴에서전년도 직렬별 (모집단위별) 경쟁률 및 합격선 등을 공개하고있습니다. 해당자료를 참고하여 시험준비, 응시직렬 (모집단위)을 결정하시기 바랍니다."
255,[응시지역 변경] 제가 원서접수기간 중 선택한 응시지역을 변경할 수 있습니까?,응시원서 접수기간이라면 국가공무원채용시스템에서 응시지역을 변경할 수 있습니다.원서 접수기간 종료 이후에는 응시번호 부여 및 시험장 임차 등의 절차가 진행되므로 응시지역 변경이 불가합니다.
256,[접수기간 종료 후 추가접수] 개인사정으로 인해 접수기간을 놓쳤는데 추가접수가 가능한지요?,"원서접수 시기는 응시번호 부여, 시험장 임차 및 필기시험 시행계획 수립 등 당해 시험의 집행 준비기간을 최소한으로 고려하여 설정한 것입니다.시험일정 사전예고(전년도 11월), 시험계획 공고문(매년 1월 초) 등을 통해 수차례 공지하고 있습니다.따라서, 접수기간 이후 추가접수는 허용하고 있지 않습니다.만약, 일부 수험생에게 추가 원서접수 허용시 시험관리의 공정성에 대한 문제 제기, 원활한 시험준비 차질 등 정상적인 시험관리가 어렵게 됨을 이해해 주시기 바랍니다."
257,[필기성적 가산점 포함 점수] 7급 및 9급 필기시험 성적은 가산점이 포함된 점수인지요? ,"그렇습니다. 국가공무원채용시스템에서 확인할 수 있는 필기시험 성적은 가산점이 포함된 점수입니다.다만, 모든 가산점은 각 과목별 만점의 40퍼센트 이상 득점한 경우에 한해 적용됩니다."
258,[필기 성적 확인] 필기시험 성적을 확인하고 싶은데 어디에서 확인할 수 있습니까? ,"국가공무원채용시스템에 로그인 한 후 ""마이페이지"" > ""합격/성적 조회 "" 에서 확인하실 수 있으며, 해당 시험연도를 포함하여 2년간 조회 가능합니다.(예 : 2025년의 시험 결과는 2026.12.31.까지 조회 가능)혹시 ID나 PW를 잊어버리신 경우 아이디찾기, 비밀번호변경을 통해서로그인 하실 수 있습니다.* 임시 비밀번호 변경방법 : 마이페이지 > 개인정보 수정 > 비밀번호 변경"
259,"[추가합격 유형] 공무원 공채시험에서 추가 합격자를 결정하는 사례가 여러 번 있던데, 이해하기 쉽게 정리를 해 주세요.", 공무원 공개경쟁채용시험을 통해 정부에서 필요로 하는 인력을 안정적으로 충원하기 위해 각 시험단계별로 특수한 요건이 발생한 경우에 한하여 추가 합격자 결정 절차를 진행하고 있습니다. 이에 대한 주요 내용은 공무원임용시험령 제23조 및 25조에서 규정 하고 있으므로 해당 규정을 확인하시기 바랍니다. 
260,[면접시험 결과 공개요구] 면접위원이 평가한 평정표 자료를 확인하고 싶습니다. 제가 어떤 평가요소에서 낮은 평가를 받았는지 궁금합니다.,면접시험 위원의 평가결과(면접시험 평정표)는 「공공기관의정보공개에관한법률」 제9조제1항제5호의 규정에 따라 비공개 대상정보로 관리하고 있습니다. 면접시험 위원의 평가 행위는 고도의 전문성과 양심에 따른 재량행위로서다의적인 평가기준과 면접위원의 주관적인 판단 사이의 정합성을 따지는 것은 바람직하지 않기 때문입니다.결론적으로 면접시험 위원이 면접시험 결과에 대한 어떠한 이의제기나 쟁송 등에 휩쓸리지 않고소신껏 면접시험에 임할 수 있도록 하기 위해 면접시험 평정표는 공개하지 않음을 양해하여 주시기 바랍니다.(서울고등법원 99누 12375 참조)
261,"[면접시험] 필기시험 성적, 병역 이행여부, 공무원 재직사실 , 낮은 연령 등을 이유로 면접시험에서 불이익을 받는 경우는 없나요?","인사혁신처가 주관하는 공개경쟁채용시험의 면접시험은 면접단계에서 시험위원에게 부정적인 선입견을 줄 수 있는필기시험 성적, 연령, 출신학교, 병역이행여부, 공무원 재직사실 등의 정보를 일절 제공하지 않는 無자료(배경 블라인드) 면접방식을 기반으로 하고 있습니다.특히 출신학교, 병역이행 여부, 공무원재직사실 등의 정보는 별도로 수집하거나 관리하지도 않습니다.이러한 정보들이 공직자로서 갖추어야 할 인성이나 자질, 직무역량 등을 평가하는데 직접적인 연관성이 없기 때문입니다.따라서 위에 열거한 사실들로 인해 면접시험에서 불이익을 받는 경우는 없습니다."
262,"[합격선·합격자 결정 방법] 모집단위별 합격선 및 합격자를 결정할 때, 어떤 기준과 절차를 통해 결정되는지요?","시험별·단계별 합격자 결정기준은「공무원임용시험령」제23조 및 25조 등에서 규정하고 있으며모집단위별 세부적인 합격선 및 합격자 결정은 위 규정의 범위 안에서 모집단위별 응시자 성적분포(성적대별 동점자 수 등),최근 2~3년간의 선발예정인원 대비 필기시험 합격인원 비율, 면접시험 응시율 등을 종합적으로 고려하여 '인사혁신처 시험관리위원회'에서 심의·합니다."
263,[답안 미판독시 手채점 여부] OCR 기기가 답안을 제대로 인식하지 못하였다면 手작업으로 채점하여 성적을 인정해주시면 안 될까요?,"인사혁신처에서 주관하는 공개경쟁채용시험(외교관후보자 선발시험 포함)의선택형 필기시험은OCR스캐너에 의한 판독 결과로만 채점이 이루어집니다.만약, 개별적인 手작업 채점 요구를 받아들이게 될 경우 모든 불합격자들의 요구를 받아들여야 하는 상황에이르게 되어 종국에는 모든 답안지를 전산채점 외에 手작업을 통해 다시 채점을 해야 하는 상황을 초래할 수 있습니다.이러면 정해진 기한 내에 정상적인 채점 및 합격자 발표가 불가능해집니다.이러한 이유 때문에 手작업에 의한 채점을 실시하지 않고 있습니다."
264,[과목별 계산기 사용여부] 5급공채(기술) 제2차 과목 중 계산기를 사용할 수 있는 과목과 사용할 수 없는 과목을 알려주세요.,"현재 5급 공개경쟁채용시험(기술)의 제2차시험의 경우, 계산기 사용이 원칙적으로 허용되지만시험과목에 따라 일률적으로 허용여부가 결정되는 것이 아니라 당해 시험의 과목별 문제유형 및 난이도 등에 따라출제위원이 계산기 사용여부를 결정하게 됩니다.따라서 수험생은 응시과목 계산기 사용 여부와 관련하여 시험당일 시험감독관의 지시에 따라주시기 바랍니다.계산기를 사용할 경우에는 시험시작 전에 시험감독관의 안내에 따라 반드시 초기화(reset)를 한 상태에서사용하여야 하며, 수험생이 각종 내용을 저장한 상태에서 사용할 경우에는 부정행위자로 간주됩니다."
265,"[PSAT 자료해석영역, 계산기 사용 가능여부] PSAT 자료해석영역 시간에 계산기를 사용할 수 없나요?","5급 공개경쟁채용 제1차시험의 자료해석영역 시간에는 계산기를 사용할 수 없습니다.자료해석영역에서 수치 계산이 필요한 경우가 일부 있을 수 있으나, 이러한 계산은 자료의 추세를 판단하기 위한대략적인 계산을 요구하는 정도로 실제 문제출제 의도는 그 수치의 분석 및 해석에 관한 내용입니다.물론 계산기 사용이 제한된다는 사항을 출제위원들에게 충분히 공지하고 있습니다."
